figure,cell_id,type,count,rate,panel,geometry,zone,pop_density_int
0,5,cafe,1,0.34041781443212277,NA,list(),NA,NA
0,5,coffeeshop,0,0,NA,list(),NA,NA
0,5,beauty_salon,0,0,NA,list(),NA,NA
0,5,barbershop,0,0,NA,list(),NA,NA
0,5,sports_field,0,0,NA,list(),NA,NA
0,5,recreation_center,0,0,NA,list(),NA,NA
0,5,aquarium,0,0,NA,list(),NA,NA
0,5,art_gallery,0,0,NA,list(),NA,NA
0,5,zoo,0,0,NA,list(),NA,NA
0,5,museum,0,0,NA,list(),NA,NA
0,5,garden,0,0,NA,list(),NA,NA
0,5,rec,0,0,NA,list(),NA,NA
0,6,sites,2,0.5973173615115216,NA,list(),NA,NA
0,6,community,1,0.2986586807557608,NA,list(),NA,NA
0,6,library,1,0.2986586807557608,NA,list(),NA,NA
0,6,community_center,0,0,NA,list(),NA,NA
0,6,city_hall,0,0,NA,list(),NA,NA
0,6,place_of_worship,0,0,NA,list(),NA,NA
0,6,parks,0,0,NA,list(),NA,NA
0,6,park,0,0,NA,list(),NA,NA
0,6,fountain,0,0,NA,list(),NA,NA
0,6,square,0,0,NA,list(),NA,NA
0,6,social,1,0.2986586807557608,NA,list(),NA,NA
0,6,bookstore,1,0.2986586807557608,NA,list(),NA,NA
0,6,cafe,0,0,NA,list(),NA,NA
0,6,coffeeshop,0,0,NA,list(),NA,NA
0,6,beauty_salon,0,0,NA,list(),NA,NA
0,6,barbershop,0,0,NA,list(),NA,NA
0,6,sports_field,0,0,NA,list(),NA,NA
0,6,recreation_center,0,0,NA,list(),NA,NA
0,6,aquarium,0,0,NA,list(),NA,NA
0,6,art_gallery,0,0,NA,list(),NA,NA
0,6,zoo,0,0,NA,list(),NA,NA
0,6,museum,0,0,NA,list(),NA,NA
0,6,garden,0,0,NA,list(),NA,NA
0,6,rec,0,0,NA,list(),NA,NA
0,7,sites,8,2.217077819937205,NA,list(),NA,NA
0,7,community,0,0,NA,list(),NA,NA
0,7,library,0,0,NA,list(),NA,NA
0,7,community_center,0,0,NA,list(),NA,NA
0,7,city_hall,0,0,NA,list(),NA,NA
0,7,place_of_worship,0,0,NA,list(),NA,NA
0,7,parks,2,0.5542694549843012,NA,list(),NA,NA
0,7,park,0,0,NA,list(),NA,NA
0,7,fountain,2,0.5542694549843012,NA,list(),NA,NA
0,7,square,0,0,NA,list(),NA,NA
0,7,social,6,1.6628083649529037,NA,list(),NA,NA
0,7,bookstore,0,0,NA,list(),NA,NA
0,7,cafe,6,1.6628083649529037,NA,list(),NA,NA
0,7,coffeeshop,0,0,NA,list(),NA,NA
0,7,beauty_salon,0,0,NA,list(),NA,NA
0,7,barbershop,0,0,NA,list(),NA,NA
0,7,sports_field,0,0,NA,list(),NA,NA
0,7,recreation_center,0,0,NA,list(),NA,NA
0,7,aquarium,0,0,NA,list(),NA,NA
0,7,art_gallery,0,0,NA,list(),NA,NA
0,7,zoo,0,0,NA,list(),NA,NA
0,7,museum,0,0,NA,list(),NA,NA
0,7,garden,0,0,NA,list(),NA,NA
0,7,rec,0,0,NA,list(),NA,NA
0,8,sites,4,0.8912417702366073,NA,list(),NA,NA
0,8,community,0,0,NA,list(),NA,NA
0,8,library,0,0,NA,list(),NA,NA
0,8,community_center,0,0,NA,list(),NA,NA
0,8,city_hall,0,0,NA,list(),NA,NA
0,8,place_of_worship,1,0.22281044255915183,NA,list(),NA,NA
0,8,parks,3,0.6684313276774555,NA,list(),NA,NA
0,8,park,2,0.44562088511830367,NA,list(),NA,NA
0,8,fountain,1,0.22281044255915183,NA,list(),NA,NA
0,8,square,0,0,NA,list(),NA,NA
0,8,social,0,0,NA,list(),NA,NA
0,8,bookstore,0,0,NA,list(),NA,NA
0,8,cafe,0,0,NA,list(),NA,NA
0,8,coffeeshop,0,0,NA,list(),NA,NA
0,8,beauty_salon,0,0,NA,list(),NA,NA
0,8,barbershop,0,0,NA,list(),NA,NA
0,8,sports_field,0,0,NA,list(),NA,NA
0,8,recreation_center,0,0,NA,list(),NA,NA
0,8,aquarium,0,0,NA,list(),NA,NA
0,8,art_gallery,0,0,NA,list(),NA,NA
0,8,zoo,0,0,NA,list(),NA,NA
0,8,museum,0,0,NA,list(),NA,NA
0,8,garden,0,0,NA,list(),NA,NA
0,8,rec,0,0,NA,list(),NA,NA
0,9,sites,2,0.5891581250858654,NA,list(),NA,NA
0,9,community,0,0,NA,list(),NA,NA
0,9,library,0,0,NA,list(),NA,NA
0,9,community_center,0,0,NA,list(),NA,NA
0,9,city_hall,0,0,NA,list(),NA,NA
0,9,place_of_worship,0,0,NA,list(),NA,NA
0,9,parks,2,0.5891581250858654,NA,list(),NA,NA
