id,name,type,status,source,neighborhood,google_id,search,geometry,x,y,cell_id,zone
709,"Fenway Library Organization, Inc.",Community Spaces,checked,google_api,Mission Hill,ChIJybwEWSB644kR7-rwXol4LK4,library,"c(-71.09547, 42.33543)",-71.09547,42.33543,107,validation
710,Fenway Park,Parks,"new, visited",humancoding_fall,Fenway,NA,NA,"c(-71.0972056, 42.3466802)",-71.0972056,42.3466802,142,validation
711,Fidelis Way Park,Parks,checked,google_api,Brighton,ChIJc5Q_YLV544kRRbhRu246DX0,park,"c(-71.143327, 42.347829)",-71.143327,42.347829,121,boston
712,Fiedler Field,Parks,new,humancoding_fall,Back Bay,NA,NA,"c(-71.0757828, 42.35628)",-71.0757828,42.35628,162,validation
713,Fields Corner Branch Boston Public Library,Community Spaces,checked,google_api,Dorchester,ChIJFTIUPKN744kRGXYgaafKfHA,library,"c(-71.060271, 42.298893)",-71.060271,42.298893,79,validation
714,Fineman & Pappas Law Libraries,Community Spaces,checked,google_api,Fenway,ChIJjQGcEfd544kRwLFbyHtPIgM,library,"c(-71.107099, 42.350948)",-71.107099,42.350948,142,validation
715,Firicano's Barbershop,Social Businesses,"new, visited",humancoding_fall,North End,NA,NA,"c(-71.0526711, 42.3636136)",-71.0526711,42.3636136,184,validation
716,First Baptist Church,Places of Worship,checked,google_api,Jamaica Plain,ChIJMSJoEW5544kRGNg8KUPWopU,place of worship,"c(-71.114676, 42.313765)",-71.114676,42.313765,83,validation
717,First Baptist Church,Places of Worship,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0556106, 42.2879897)",-71.0556106,42.2879897,70,validation
718,First Church in Boston,Places of Worship,new,humancoding_fall,Back Bay,NA,NA,"c(-71.0746057, 42.3537466)",-71.0746057,42.3537466,162,validation
719,First Church In Charlestown,Places of Worship,checked,google_api,Charlestown,ChIJNcpyyO1w44kRtL--Hc8piQg,place of worship,"c(-71.063752, 42.375865)",-71.063752,42.375865,194,boston
720,First Church In Jamaica Plain,Places of Worship,"checked, visited",google_api,Jamaica Plain,ChIJV9_WDWx544kRe0RduvJY_3Q,place of worship,"c(-71.116209, 42.310025)",-71.116209,42.310025,74,validation
721,First Church of Boston,Places of Worship,checked,google_api,Charlestown,ChIJGTNx7_Jw44kR_f7PYcWBhA4,place of worship,"c(-71.059485, 42.373161)",-71.059485,42.373161,194,boston
722,First Hispanic Baptist Church,Places of Worship,new,humancoding_fall,Jamaica Plain,NA,NA,"c(-71.1117045, 42.3183175)",-71.1117045,42.3183175,83,validation
723,First Lutheran Church of Boston,Places of Worship,new,humancoding_fall,Back Bay,NA,NA,"c(-71.0741738, 42.3538279)",-71.0741738,42.3538279,162,validation
724,"First Parish Dorchester
",Places of Worship,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0622948, 42.3081756)",-71.0622948,42.3081756,87,validation
725,First Stret Park,Parks,new,humancoding_fall,South Boston,NA,NA,"c(-71.0398288, 42.3397141)",-71.0398288,42.3397141,147,validation
727,Fisher College Library,Community Spaces,checked,google_api,Back Bay,ChIJIZpxBqBw44kRr2yZxLg11ho,library,"c(-71.0741257, 42.3552203)",-71.0741257,42.3552203,162,validation
728,Flaherty Park,Parks,checked,google_api,South Boston,ChIJqffBNTR744kRZYmxzpv08g8,park,"c(-71.053056, 42.341865)",-71.053056,42.341865,146,validation
729,Flat Black Coffee,Social Businesses,checked,google_api,Mattapan,ChIJV6lc73N844kRYIr0QfE33uU,cafe,"c(-71.068406, 42.272377)",-71.068406,42.272377,49,validation
730,Flour Bakery & Cafe,Social Businesses,new,humancoding_fall,South End,NA,NA,"c(-71.074559, 42.3384998)",-71.074559,42.3384998,125,validation
731,Flour Bakery & Cafe,Social Businesses,new,humancoding_fall,Back Bay,NA,NA,"c(-71.073722, 42.3482811)",-71.073722,42.3482811,144,validation
732,Flour Bakery + Cafe,Social Businesses,new,humancoding_fall,Back Bay,NA,NA,"c(-71.0845764, 42.3460049)",-71.0845764,42.3460049,143,validation
733,Follett Higher Education Group,Social Businesses,checked,google_api,Downtown,ChIJa_TtTINw44kRP7YheWOh2WU,bookstore,"c(-71.061316, 42.356976)",-71.061316,42.356976,175,validation
734,Folsom Street Community Garden,Community Spaces,new,humancoding_fall,Roxbury,NA,NA,"c(-71.0720996, 42.3185719)",-71.0720996,42.3185719,97,validation
736,Forbes Street Community Garden,Community Spaces,new,humancoding_fall,Jamaica Plain,NA,NA,"c(-71.1077599, 42.3216511)",-71.1077599,42.3216511,94,validation
737,Forbes Street Playground,Parks,new,humancoding_fall,Jamaica Plain,NA,NA,"c(-71.1060497, 42.3205227)",-71.1060497,42.3205227,95,validation
738,Forest Hills Cemetery,Places of Worship,new,humancoding_fall,Jamaica Plain,NA,NA,"c(-71.105659, 42.2948239)",-71.105659,42.2948239,66,validation
740,Foster Street Rock,Parks,new,humancoding_fall,Brighton,NA,NA,"c(-71.1572139, 42.3430173)",-71.1572139,42.3430173,104,boston
741,Fountain Street,Other,checked,google_api,South End,ChIJZ_vQkjOI44kROZtHs4drYlk,fountain,"c(-71.065404, 42.34254)",-71.065404,42.34254,145,validation
742,Four Corners Action Coalition,Social Businesses,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0734524, 42.2986955)",-71.0734524,42.2986955,78,validation
743,Francis D. Martini Memorial Shell Park and Moynihan Recreation Area,Parks,checked,google_api,Hyde Park,ChIJtZS7h1x-44kRSNAPQ_St468,park,"c(-71.126463, 42.244625)",-71.126463,42.244625,5,boston
745,"Franklin Field BHA Green Park
",Parks,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0849087, 42.2900871)",-71.0849087,42.2900871,68,validation
746,"Franklin Field BHA Playground
",Parks,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0871537, 42.2903252)",-71.0871537,42.2903252,58,boston
747,Franklin Field Elderly Community Center,Community Spaces,checked,google_api,Dorchester,ChIJ__8T1O9744kRz_zeerwUUlU,community center,"c(-71.082763, 42.290189)",-71.082763,42.290189,68,validation
749,Franklin Park,Parks,checked,google_api,Roxbury,ChIJg2jTvd9744kR1g5elowqJeU,park,"c(-71.087708, 42.302842)",-71.087708,42.302842,77,validation
750,Franklin Park - Overlook Ruins,Parks,checked,google_api,Roxbury,ChIJAQAAnNh744kRpG1rVsc-7PQ,park,"c(-71.096946, 42.308122)",-71.096946,42.308122,76,validation
751,Franklin Park Picnic Area,Parks,new,humancoding_fall,Roxbury,NA,NA,"c(-71.0981466, 42.3056196)",-71.0981466,42.3056196,76,validation
752,Franklin Park Playstead,Parks,checked,google_api,Roxbury,ChIJ7Vn76Nd744kRjf4vH5_s-80,park,"c(-71.093974, 42.307616)",-71.093974,42.307616,76,validation
753,Franklin Park Tennis Courts,Parks,checked,google_api,Roxbury,ChIJNzfHVV5544kRr4cCvPZZ-mg,park,"c(-71.100574, 42.300215)",-71.100574,42.300215,67,validation
754,Franklin Park Zoo,Parks,checked,google_api,Roxbury,ChIJme0fDdx744kRkewtCrKcph0,park,"c(-71.09028, 42.3052)",-71.09028,42.3052,76,validation
755,Franklin Square,Parks,checked,google_api,South End,ChIJbQYEd6N744kRPvJsWFP6AiM,square,"c(-71.072536, 42.338801)",-71.072536,42.338801,126,validation
758,Frederick Douglass Peace Garden,Parks,new,humancoding_fall,Roxbury,NA,NA,"c(-71.0843815, 42.336572)",-71.0843815,42.336572,125,validation
760,Frederick S. Pardee Management Library,Community Spaces,checked,google_api,Fenway,ChIJg0_QnPd544kRsZfN5kmTMdY,library,"c(-71.099472, 42.349672)",-71.099472,42.349672,142,validation
761,Freedom Christ-Ministry,Places of Worship,"new, visited",humancoding_fall,Dorchester,NA,NA,"c(-71.0713254, 42.2889006)",-71.0713254,42.2889006,69,validation
762,Freedom House Inc,Community Spaces,new,humancoding_fall,Roxbury,NA,NA,"c(-71.0836993, 42.3108082)",-71.0836993,42.3108082,86,validation
763,French Culteral Center,Community Spaces,checked,google_api,Back Bay,ChIJ9eoavwp644kREpKocGVcTag,library,"c(-71.0748151, 42.3542505)",-71.0748151,42.3542505,162,validation
765,Friends of the Public Garden,Parks,checked,google_api,Beacon Hill,ChIJJYco-Sx644kRQeCdVSu82Z4,garden,"c(-71.069823, 42.35626)",-71.069823,42.35626,162,validation
766,Friendship Apostolic Church,Places of Worship,checked,google_api,Dorchester,ChIJTWXT-MB744kRiW84ODJIH80,place of worship,"c(-71.0761952, 42.3008657)",-71.0761952,42.3008657,77,validation
767,Frugal Bookstore,Social Businesses,checked,google_api,Roxbury,ChIJzaATkTp644kR2pQIwpD5AE0,bookstore,"c(-71.0835588, 42.3288925)",-71.0835588,42.3288925,108,validation
768,Fruit Bearing Worship Assembly,Places of Worship,checked,google_api,Roslindale,ChIJw0n0vMt-44kRnhrJsPgfUvg,place of worship,"c(-71.125332, 42.284432)",-71.125332,42.284432,44,boston
769,Fry Howard Store,Social Businesses,checked,google_api,South Boston,ChIJ5RnU46d744kRVJHCktkQcS0,bookstore,"c(-71.063562, 42.335016)",-71.063562,42.335016,126,validation
770,Fuel America,Social Businesses,checked,google_api,Brighton,ChIJvTSox09444kRo-cmREHs7ZM,cafe,"c(-71.154132, 42.341596)",-71.154132,42.341596,104,boston
771,Full Life Gospel Center,Places of Worship,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0796706, 42.2865515)",-71.0796706,42.2865515,59,validation
772,Gaelic Day Spa & Salon,Social Businesses,new,humancoding_fall,South Boston,NA,NA,"c(-71.0488532, 42.3373998)",-71.0488532,42.3373998,146,validation
773,Gallivan Community Center,Community Spaces,checked,google_api,Mattapan,ChIJGa6GxQ5844kRnArRboWhIWY,community center,"c(-71.081541, 42.274867)",-71.081541,42.274867,48,boston
774,Galvin Memorial Park,Parks,new,humancoding_fall,Charlestown,NA,NA,"c(-71.064626, 42.3716629)",-71.064626,42.3716629,183,validation
776,Garden of Peace,Parks,"new, visited",humancoding_fall,Dorchester,NA,NA,"c(-71.0758084, 42.2887764)",-71.0758084,42.2887764,69,validation
777,Garden of Peace,Parks,new,humancoding_fall,Downtown,NA,NA,"c(-71.0617845, 42.3601512)",-71.0617845,42.3601512,175,validation
778,Garden of Remembrance 9/11 Memorial,Parks,checked,google_api,Beacon Hill,ChIJXfOICHV644kRRvQ_UubPMO4,garden,"c(-71.070775, 42.352724)",-71.070775,42.352724,162,validation
779,Gardens,Parks,new,humancoding_fall,Back Bay,NA,NA,"c(-71.0791616, 42.344909)",-71.0791616,42.344909,144,validation
782,Garvey Playground,Parks,checked,google_api,Dorchester,ChIJVxESE3V744kRBJ7TnSI1Whc,park,"c(-71.045611, 42.287958)",-71.045611,42.287958,71,validation
783,Gate of Heaven & Saint Brigid Parishes,Places of Worship,"new, visited",humancoding_fall,South Boston,NA,NA,"c(-71.0304524, 42.3355804)",-71.0304524,42.3355804,148,validation
784,Gate of Heaven Catholic Church,Places of Worship,new,humancoding_fall,South Boston,NA,NA,"c(-71.040351, 42.3344023)",-71.040351,42.3344023,128,validation
786,Geneva Cliffs,Parks,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0726639, 42.3038725)",-71.0726639,42.3038725,78,validation
787,George Robert White Memorial,Parks,checked,google_api,Beacon Hill,ChIJoWiB6J9w44kRETvYQ4uwG_o,fountain,"c(-71.072147, 42.355345)",-71.072147,42.355345,162,validation
788,Gerald “Jerry” Cunningham Memorial Dog Park,Parks,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0442148, 42.2875188)",-71.0442148,42.2875188,71,validation
789,German Centre,Community Spaces,new,humancoding_fall,West Roxbury,NA,NA,"c(-71.1596374, 42.2736549)",-71.1596374,42.2736549,22,boston
790,Gertrude Howes Playground,Parks,new,humancoding_fall,Roxbury,NA,NA,"c(-71.0785234, 42.3243185)",-71.0785234,42.3243185,109,validation
791,Gibson House Museum,Other,new,humancoding_fall,Back Bay,NA,NA,"c(-71.0740953, 42.3548053)",-71.0740953,42.3548053,162,validation
792,Gilbert Albert Community Center,Community Spaces,checked,google_api,Dorchester,ChIJp0TwZ5V744kRUbHhRBzuO-Q,community center,"c(-71.07947, 42.304149)",-71.07947,42.304149,77,validation
793,Gino's Hair Styling,Social Businesses,new,humancoding_fall,East Boston,NA,NA,"c(-71.0189546, 42.38322)",-71.0189546,42.38322,208,boston
794,Gladtidings House of Prayer for All Nations,Places of Worship,checked,google_api,Mattapan,ChIJC9L5WAF844kR_aBBbwtZKi8,place of worship,"c(-71.092246, 42.277366)",-71.092246,42.277366,47,boston
795,Global Ministries Christian Church,Places of Worship,"new, visited",humancoding_fall,Dorchester,NA,NA,"c(-71.0708171, 42.2883724)",-71.0708171,42.2883724,69,validation
796,"Global Reach Evangelical Missionary Church
",Places of Worship,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0806539, 42.3025457)",-71.0806539,42.3025457,77,validation
797,Golden Stairs Park,Parks,checked,google_api,East Boston,ChIJNVjPp2lw44kRogrDLCJf1u8,park,"c(-71.03408, 42.364902)",-71.03408,42.364902,186,excluded_boston
798,Golden Stairs Terrace Park,Parks,checked,google_api,East Boston,ChIJTfg7yAhx44kRNJIMImHf_iY,park,"c(-71.03478, 42.365168)",-71.03478,42.365168,186,excluded_boston
799,Golgotha Seventh-Day Adventist Church,Places of Worship,checked,google_api,West Roxbury,ChIJkz2J7SV544kRUrqfFOuTeWU,place of worship,"c(-71.1300441, 42.2985897)",-71.1300441,42.2985897,64,validation
800,Gong Cha,Social Businesses,"new, visited",humancoding_fall,Fenway,NA,NA,"c(-71.08630925, 42.34194508)",-71.08630925,42.34194508,124,validation
802,Gordon and Denton Square Park,Parks,new,humancoding_fall,Roxbury,NA,NA,"c(-71.0723857, 42.3136062)",-71.0723857,42.3136062,86,validation
803,Grace Church Federated,Places of Worship,new,humancoding_fall,East Boston,NA,NA,"c(-71.0171319, 42.3838836)",-71.0171319,42.3838836,218,boston
804,"Grace Church of All Nations
",Places of Worship,new,humancoding_fall,Roxbury,NA,NA,"c(-71.085596, 42.3124613)",-71.085596,42.3124613,85,validation
805,Grace Missionary Church,Places of Worship,checked,google_api,Hyde Park,ChIJu6VuV0F_44kRb397GSwGtC0,place of worship,"c(-71.120833, 42.255325)",-71.120833,42.255325,17,boston
806,Gracepoint Boston,Places of Worship,new,humancoding_fall,Allston,NA,NA,"c(-71.1347788, 42.355979)",-71.1347788,42.355979,139,boston
807,Granada Park Garden,Parks,new,humancoding_fall,Jamaica Plain,NA,NA,"c(-71.0986697, 42.3128908)",-71.0986697,42.3128908,84,validation
808,Granary Burying Ground,Parks,new,humancoding_fall,Downtown,NA,NA,"c(-71.0617209, 42.3574808)",-71.0617209,42.3574808,175,validation
809,Grant A.M.E. Church,Places of Worship,checked,google_api,Roxbury,ChIJt9vVgD5644kRzKtQDQKAWEM,place of worship,"c(-71.0791346, 42.3343689)",-71.0791346,42.3343689,125,validation
811,"Greater Anointing Harvest Church
",Places of Worship,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0852036, 42.2998884)",-71.0852036,42.2998884,77,validation
812,Greater Boston Chinese Allnc,Places of Worship,new,humancoding_fall,Brighton,NA,NA,"c(-71.1508787, 42.3567902)",-71.1508787,42.3567902,138,boston
814,Greater Friendship Baptist Church,Places of Worship,new,humancoding_fall,Dorchester,NA,NA,"c(-71.0785653, 42.296893)",-71.0785653,42.296893,68,validation
