geoid,pop_women,pop,pop_white,pop_black,pop_natam,pop_asian,pop_pacific,pop_hisplat,pop_edu_total,pop_edu_no_hs,pop_edu_hs,pop_edu_some_college,pop_edu_college,pop_edu_grad,employees_muni,employees_state,employees_fed,median_income,income_inequality,pop_labor_force,pop_unemployed,median_monthly_housing_cost,pop_age_65_plus,pop_some_college
250250701018,0.4383561643835616,438,0.8013698630136986,0.06164383561643835,0,0.136986301369863,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196250,NA,331,0.06042296072507553,NA,0.07077625570776255,NA
250250702001,0.5998185117967332,1102,0.13430127041742287,0.004537205081669692,0,0.8411978221415608,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36615,NA,538,0.0037174721189591076,NA,0.16061705989110708,NA
250250702002,0.632172131147541,976,0,0.1721311475409836,0.036885245901639344,0.7909836065573771,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20427,NA,298,0.1174496644295302,NA,0.16598360655737704,NA
250250702003,0.5657056145675265,3295,0.5905918057663126,0.017602427921092564,0,0.3484066767830046,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38258,NA,1657,0.11104405552202776,NA,0.17207890743550835,NA
250250703001,0.5060344827586207,1160,0.6974137931034483,0.0353448275862069,0,0.1853448275862069,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531,0.032015065913371,NA,0.26982758620689656,NA
250250703002,0.6068476977567887,847,0.8783943329397875,0,0,0.12160566706021252,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111225,NA,676,0,NA,0.06729634002361275,NA
250250703003,0.39643652561247217,898,0.9064587973273942,0,0,0.0011135857461024498,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103906,NA,671,0.026825633383010434,NA,0.23719376391982183,NA
250250703004,0.510032362459547,1545,0.7216828478964401,0.013592233009708738,0,0.13592233009708737,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189815,NA,1180,0.007627118644067797,NA,0.1080906148867314,NA
250250704021,0.533135875601629,2701,0.37911884487226954,0.12365790447982229,0.00777489818585709,0.4420584968530174,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36333,NA,1424,0.05758426966292135,NA,0.2028878193261755,NA
250250705001,0.4898720682302772,1876,0.8795309168443497,0.011194029850746268,0,0.07569296375266525,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185288,NA,1387,0.01658255227108868,NA,0.06982942430703624,NA
250250705002,0.38879456706281834,589,0.10186757215619695,0.10526315789473684,0.050933786078098474,0.5500848896434635,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15286,NA,170,0.17647058823529413,NA,0.533106960950764,NA
250250705003,0.46030871003307605,1814,0.5705622932745315,0.05898566703417861,0,0.15931642778390298,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106518,NA,1290,0.03488372093023256,NA,0.09371554575523705,NA
250250705004,0.6131713554987213,1564,0.35485933503836314,0.1374680306905371,0,0.23849104859335038,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,833,0.17647058823529413,NA,0.05115089514066496,NA
250250706001,0.5889724310776943,1197,0.835421888053467,0.011695906432748537,0,0.11695906432748537,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129750,NA,758,0.013192612137203167,NA,0.11946532999164577,NA
250250706002,0.5131375579598145,1294,0.8299845440494591,0.08346213292117466,0,0.04173106646058733,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186250,NA,937,0.004268943436499467,NA,0.11978361669242658,NA
250250707001,0.5880250223413762,1119,0.6157283288650581,0.24128686327077747,0,0.09294012511170688,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73333,NA,773,0.07373868046571798,NA,0.14655942806076855,NA
250250707002,0.5144508670520231,1557,0.6801541425818882,0.14771997430956968,0,0.09569685292228645,0.03147077713551702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160417,NA,969,0.048503611971104234,NA,0.14964675658317278,NA
250250708001,0.5360703812316715,1705,0.656891495601173,0.25806451612903225,0,0.05923753665689149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1307,0.02448355011476664,NA,0.1032258064516129,NA
250250708002,0.38453914767096137,1009,0.7046580773042617,0.1337958374628345,0,0.1288404360753221,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100592,NA,718,0.05153203342618384,NA,0.13875123885034688,NA
250250708003,0.6874292185730464,883,0.8357870894677236,0.08380520951302378,0,0.08040770101925254,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74255,NA,715,0.043356643356643354,NA,0.03397508493771234,NA
250250709001,0.6115367282559712,2219,0.722397476340694,0.18837314105452907,0,0.04686795853988283,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500,0.02266666666666667,NA,0.10274898602974313,NA
