cell_id,fraternal,religious,veterans,country_clubs,civic,business,collectors,union,charitable,church_board,school_board,local_board
56,2.08151,3.27672,1.9658,1.06676,1.10881,0.84279,0.35758,3.27125,4.1325199999999995,2.62204,0.98372,0.45479
57,1.7825625,2.82145,1.5914625,0.8234,0.9025125,0.6588625,0.284375,2.8005,3.47485,2.297325,0.8017375,0.3620625
58,1.891485,3.2686,2.23011,1.12907,1.239665,0.87282,0.3829,3.17536,4.16042,2.56738,1.049115,0.498355
59,2.0147923076923075,3.3985461538461537,2.3565384615384617,1.2117153846153845,1.2950538461538461,0.9303384615384616,0.4020076923076923,3.2971923076923075,4.385153846153846,2.6915692307692307,1.0603,0.5305076923076923
60,2.1177357142857143,3.4716071428571427,2.433921428571429,1.2766428571428572,1.322442857142857,0.9913857142857143,0.40892142857142855,3.3796214285714288,4.5198285714285715,2.7260857142857144,1.0823571428571428,0.5597285714285715
61,2.19284,3.5726,2.52666,1.29388,1.35078,0.99946,0.42826000000000003,3.4141,4.63192,2.78312,1.0781,0.57904
62,2.2474,3.6411,2.7526,1.3415,1.4286,0.9233,0.4181,3.1707,4.6516,2.8049,1.0279,0.6098
63,2.4577,3.9121,2.8974,1.4656,1.522,1.0372,0.451,3.4611,5.1071,3.0101,1.0598,0.6426
64,2.2354,3.67122,2.4635000000000002,1.58062,1.51,1.24832,0.34156,3.46554,5.03484,2.70296,1.26198,0.50044
65,2.0886,3.4499875,2.307825,1.39655,1.36585,1.1141375,0.35988749999999997,3.3206875,4.6035,2.5633375000000003,1.1865,0.486925
66,1.91882,3.47207,1.75754,1.02407,1.03681,0.84346,0.28039,3.45761,4.3200899999999995,2.26738,0.93358,0.36943000000000004
67,1.5838,3.37954,1.101,0.57982,0.6562600000000001,0.44054,0.20242,3.33076,3.75252,1.99246,0.62522,0.25142
68,1.73273125,3.32219375,2.049275,1.042625,1.1459875,0.7996875,0.35826875,3.23138125,4.1124875,2.3669375,0.98140625,0.46413125
69,1.966505,3.338715,2.28876,1.185625,1.270505,0.9164,0.396035,3.260475,4.289785,2.629395,1.07239,0.523465
70,2.0695466666666666,3.42362,2.35202,1.2406933333333334,1.2917333333333334,0.9882133333333334,0.40347333333333335,3.3994866666666668,4.45172,2.677026666666667,1.09672,0.5436933333333334
71,2.1457249999999997,3.5081625,2.44835,1.2645,1.3220375,0.9939125,0.4153625,3.4227875,4.5489999999999995,2.722425,1.08655,0.5616
72,2.20615,3.57315,2.57905,1.35805,1.3844,0.9943,0.41525,3.30355,4.6282,2.75985,1.08095,0.5798
73,2.4638,3.8363333333333336,2.7187666666666668,1.7154333333333334,1.5255,1.2647333333333333,0.4235333333333333,3.5935,5.301666666666667,3.0665666666666667,1.2112666666666667,0.6488666666666667
74,2.1761583333333334,3.5277833333333333,2.394725,1.4378333333333333,1.385475,1.152975,0.3873333333333333,3.4425666666666666,4.737208333333333,2.65645,1.1908083333333332,0.5234
75,1.8313666666666666,3.5045444444444445,2.0097555555555555,1.1136333333333333,1.1065777777777779,0.9104222222222222,0.3471,3.5610222222222223,4.435022222222222,2.2547,0.9974666666666666,0.4757777777777778
76,1.4113,3.6214,1.641,0.838475,0.903225,0.637675,0.27835,3.5304,4.2443,1.8458,0.7775000000000001,0.365075
77,1.73912,3.32904,2.0557666666666665,1.0205733333333333,1.1283066666666668,0.7846466666666667,0.36051333333333335,3.2288866666666665,4.107026666666667,2.3518,0.95906,0.4552866666666667
78,1.9578588235294119,3.3406294117647057,2.270670588235294,1.1745764705882353,1.2602764705882352,0.9144705882352941,0.39191764705882354,3.2727764705882354,4.284117647058824,2.6338470588235294,1.0685941176470588,0.5181764705882352
79,2.004242857142857,3.356392857142857,2.3242857142857143,1.1793,1.2657214285714287,0.9203285714285715,0.39,3.248,4.284242857142857,2.63585,1.0681642857142857,0.5290928571428571
80,1.75575,2.8745833333333333,1.9654166666666666,1.0522166666666666,1.0829,0.8467333333333333,0.3409833333333333,2.88175,3.7554833333333333,2.2312166666666666,0.9236333333333333,0.45281666666666665
81,1.08245,1.7526,1.20275,0.6873,0.6701,0.53265,0.2062,1.7182,2.3024,1.3574,0.567,0.2749
82,2.4745,3.9798999999999998,2.94085,1.5796999999999999,1.6016,1.15125,0.51445,3.5616,5.2593499999999995,3.0850999999999997,1.1031499999999999,0.6426499999999999
83,2.19795,3.5115166666666666,2.434241666666667,1.3563833333333333,1.3325583333333333,1.0791166666666667,0.420575,3.4607666666666668,4.6456583333333334,2.692591666666667,1.131525,0.5629666666666666
84,1.8925411764705882,3.3928823529411765,2.138494117647059,1.1223176470588236,1.1644882352941177,0.8853235294117647,0.36614705882352944,3.334935294117647,4.277464705882353,2.385564705882353,1.0126411764705883,0.4895529411764706
85,1.76878,3.3341066666666666,2.10716,1.0382533333333333,1.14568,0.7746666666666666,0.36073333333333335,3.1766533333333333,4.101333333333334,2.3440866666666667,0.9558133333333333,0.46663333333333334
86,1.8353736842105264,3.166236842105263,2.1680684210526318,1.0853526315789475,1.1952368421052633,0.8165473684210527,0.3808473684210526,3.028763157894737,3.9682684210526316,2.4810368421052633,1.0294,0.4780105263157895
87,1.90271875,3.260575,2.2340625,1.116425,1.22374375,0.862025,0.38556250000000003,3.164625,4.1191625,2.55591875,1.0435875000000001,0.500875
88,1.992711111111111,3.326488888888889,2.3076222222222222,1.169722222222222,1.2469555555555556,0.9171888888888889,0.3947333333333333,3.2192333333333334,4.2356444444444445,2.5945888888888886,1.0604,0.5219111111111111
89,1.5980750000000001,2.6111,1.789175,0.95585,0.9764250000000001,0.77645,0.3147,2.60135,3.417875,2.02005,0.830225,0.41422499999999995
90,0,0,0,0,0,0,0,0,0,0,0,0
91,1.3199333333333334,2.0475,1.4371,0.7319333333333333,0.7652666666666667,0.5530333333333334,0.2551,1.9346666666666665,2.5338666666666665,1.5048,0.7019,0.31243333333333334
92,1.9799,3.07125,2.15565,1.0979,1.1479,0.82955,0.38265,2.902,3.8007999999999997,2.2572,1.0528499999999998,0.46865
93,2.5,3.8782,2.8205,1.7308,1.5705,1.2821,0.4167,3.6538,5.4167,3.109,1.1859,0.6731
94,2.1294272727272725,3.406809090909091,2.3942727272727273,1.2685090909090908,1.3029,0.9863272727272727,0.4174,3.309018181818182,4.4145,2.5929545454545453,1.0929909090909091,0.5405
95,1.9544615384615385,3.2346307692307694,2.2646384615384614,1.1382307692307692,1.2248307692307692,0.8649153846153846,0.38583076923076925,3.0930615384615385,4.082007692307692,2.4961153846153845,1.049553846153846,0.5034076923076923
96,1.9368941176470589,3.2767235294117647,2.3168058823529414,1.127429411764706,1.2501941176470588,0.8346764705882352,0.3936,3.068635294117647,4.114541176470588,2.558094117647059,1.0225470588235295,0.5080235294117648
97,1.8955142857142857,3.238728571428571,2.2231214285714285,1.1116357142857143,1.225542857142857,0.8417142857142857,0.38269285714285717,3.103242857142857,4.071242857142857,2.542242857142857,1.0337571428571428,0.49544285714285713
98,1.9691,3.2844235294117645,2.2676882352941177,1.160135294117647,1.2403411764705883,0.8981823529411764,0.3871058823529412,3.185505882352941,4.174064705882353,2.557005882352941,1.0587,0.516964705882353
99,2.0529,3.3234,2.332475,1.2165875,1.263625,0.941825,0.392625,3.2309625,4.2662125,2.5641875,1.0759875,0.5357375
100,1.3386666666666667,2.1411333333333333,1.4976,0.7583333333333333,0.8016333333333333,0.5915666666666667,0.2577,2.0471333333333335,2.7002333333333333,1.6166666666666665,0.7046333333333333,0.3391
101,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0
103,1.6518,2.60118,1.85108,0.9394,0.9849600000000001,0.70234,0.31766,2.45064,3.26682,1.9549400000000001,0.83792,0.41237999999999997
104,1.87239,2.94767,2.12338,1.06241,1.12274,0.77751,0.35853,2.72472,3.6814,2.20955,0.92842,0.46593
105,2.018742857142857,3.1776214285714284,2.299842857142857,1.0998357142857142,1.1994785714285714,0.8033142857142858,0.39470714285714287,2.9222,3.902707142857143,2.3470214285714284,1.0059714285714285,0.49129285714285714
106,2.001708333333333,3.158775,2.233175,1.1136333333333333,1.1951166666666666,0.8451333333333333,0.40613333333333335,2.927875,3.9013916666666666,2.3473333333333333,1.0507083333333334,0.47930833333333334
107,1.9059875,3.08389375,2.14653125,1.0823375,1.16286875,0.82331875,0.38136875,2.90605,3.8224062500000002,2.34246875,1.05463125,0.47353125
108,1.8915714285714285,3.201842857142857,2.270107142857143,1.0884785714285714,1.2252142857142858,0.8006928571428571,0.3820571428571429,2.984642857142857,3.984107142857143,2.4966785714285713,1.0067214285714285,0.49775
109,1.9384625,3.267025,2.2823125,1.1265749999999999,1.249825,0.8401375,0.3864375,3.105425,4.1049125,2.5565875,1.0216625,0.5068874999999999
110,1.7335666666666667,2.8771222222222224,2.0185555555555554,1.0070666666666668,1.0907111111111112,0.7565666666666667,0.34242222222222224,2.7288666666666668,3.611077777777778,2.2258333333333336,0.9149,0.45095555555555555
111,1.4620250000000001,2.3789125,1.6463875,0.8583125,0.9009875,0.650325,0.285325,2.287575,2.994175,1.82455,0.79265,0.373825
