cell_id,democrat_percent,republican_percent,turnout_percent
165,74.65,22.950000000000003,72.94999999999999
166,68.23333333333333,29.133333333333333,75.3
167,59.7,37.4,77.3
168,100,0,100
169,100,0,100
170,NA,NA,NA
171,NA,NA,NA
172,85.6,11.1,62.5
173,85.6,11.1,62.5
174,83.63333333333334,14,74.35
175,79.05,18.666666666666664,70.58333333333333
176,76.89999999999999,20.733333333333334,71.76666666666667
177,79.05,18.55,72.3
178,80,17.5,73
179,80,17.5,73
180,NA,NA,NA
181,NA,NA,NA
182,75.2,22.7,76.8
183,78.53333333333333,19.133333333333333,72.33333333333333
184,76.9,20.9125,71.6875
185,79.24,18.62,70.46
186,79.55,18,71.65
187,80,17.5,73
188,80,17.5,73
189,80,17.5,73
190,NA,NA,NA
191,NA,NA,NA
192,NA,NA,NA
193,75.36666666666667,22.333333333333332,77.3
194,77.28571428571429,20.45714285714286,75.64285714285714
195,78.28,19.52,71.67999999999999
196,79.86666666666666,17.916666666666668,66.45
197,78.475,19.075,68.55
198,80,17.5,73
199,80,17.5,73
200,80,17.5,73
201,NA,NA,NA
202,NA,NA,NA
203,NA,NA,NA
204,76.9,20.3,76.5
205,77.65,20.05,71.75
206,77.73333333333333,20.2,64.13333333333333
207,78.33333333333333,19.5,64.45
208,74.41666666666667,23.583333333333332,69.28333333333333
209,70.56666666666666,27.599999999999998,72.53333333333333
210,80,17.5,73
211,NA,NA,NA
212,NA,NA,NA
213,NA,NA,NA
214,76.9,20.3,76.5
215,NA,NA,NA
216,NA,NA,NA
217,NA,NA,NA
218,70.375,28.025,69.325
219,66.525,32.075,69.375
220,64.4,34.4,73.3
221,NA,NA,NA
222,NA,NA,NA
223,NA,NA,NA
224,NA,NA,NA
225,67.19999999999999,31.5,66.45
226,66.26666666666667,32.46666666666667,68.73333333333333
227,64.5,34.5,70.35
228,NA,NA,NA
229,NA,NA,NA
230,NA,NA,NA
231,NA,NA,NA
232,NA,NA,NA
233,NA,NA,NA
234,NA,NA,NA
235,NA,NA,NA
236,NA,NA,NA
237,NA,NA,NA
238,NA,NA,NA
239,NA,NA,NA
240,NA,NA,NA
241,NA,NA,NA
242,NA,NA,NA
243,NA,NA,NA
244,NA,NA,NA
245,NA,NA,NA
246,NA,NA,NA
247,NA,NA,NA
248,NA,NA,NA
249,NA,NA,NA
250,NA,NA,NA
251,NA,NA,NA
252,NA,NA,NA
253,NA,NA,NA
254,NA,NA,NA
255,NA,NA,NA
256,NA,NA,NA
257,NA,NA,NA
258,NA,NA,NA
259,NA,NA,NA
260,NA,NA,NA
261,NA,NA,NA
